description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
PI5P Regulates TP53 Acetylation	R-HSA-6811555	1	2208	9	10987	0.8673414601950471	0.9999999999999999	0.5528884863123994	0	TP53
O-linked glycosylation	R-HSA-5173105	15	2208	112	10987	0.9757504228093048	0.9999999999999999	0.6664280861801242	0	POMT1, LARGE2, ST6GAL1, ST6GALNAC2, GALNT15, ADAMTSL4, MUC5B, B4GAT1, ADAMTS7, B3GNT2, MUC16, ADAMTS17, THSD1, B3GNT6, ST6GALNAC4
Signaling by NTRK2 (TRKB)	R-HSA-9006115	3	2208	25	10987	0.9039804122363496	0.9999999999999999	0.5971195652173913	0	HRAS, FRS3, NTF4
G alpha (s) signalling events	R-HSA-418555	20	2208	158	10987	0.9949419752852736	0.9999999999999999	0.6298729590900752	0	ITGA5, GPR25, ADCY6, ITGB1, ADCY2, GNAI2, GNG10, GNG7, GNAS, PRKAR2A, GPR27, GPR150, GRK3, PTH2, RAMP1, PDE4C, CYSLTR2, PDE7B, ADM, PTH
RAB GEFs exchange GTP for GDP on RABs	R-HSA-8876198	15	2208	90	10987	0.8277499030671176	0.9999999999999999	0.829332729468599	0	TRAPPC2, RAB10, RAB31, RABGEF1, RAB7A, TRAPPC1, TRAPPC10, DENND2A, TRAPPC4, GAPVD1, RAB3GAP1, RAB18, DENND1B, ANKRD27, ALS2
SHC1 events in ERBB2 signaling	R-HSA-1250196	3	2208	22	10987	0.8483266757272042	0.9999999999999999	0.6785449604743082	0	HRAS, EGF, PRKCA
Lectin pathway of complement activation	R-HSA-166662	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	MBL2
Phase 0 - rapid depolarisation	R-HSA-5576892	5	2208	34	10987	0.8418407793440298	0.9999999999999999	0.7317641730605287	0	SCN7A, FGF13, SCN1B, RANGRF, CACNG6
Activation of kainate receptors upon glutamate binding	R-HSA-451326	3	2208	32	10987	0.9693589118249756	0.9999999999999999	0.466499660326087	0	GNG10, GNG7, GRIK3
Caspase activation via Death Receptors in the presence of ligand	R-HSA-140534	2	2208	17	10987	0.8838054058561426	0.9999999999999999	0.5854113384484229	0	CASP8, LY96
Adherens junctions interactions	R-HSA-418990	5	2208	57	10987	0.9940541002933702	0.9999999999999999	0.43649091024663106	0	CDH19, AGO1, ZEB2, ACTB, BHLHE22
Lagging Strand Synthesis	R-HSA-69186	2	2208	20	10987	0.9323071525162223	0.9999999999999999	0.49759963768115945	0	RFC4, RPA1
RHO GTPases activate PAKs	R-HSA-5627123	3	2208	24	10987	0.8878902897120826	0.9999999999999999	0.6219995471014492	0	PPP1R12A, PPP1CB, CDC42
Neurotransmitter receptors and postsynaptic signal transmission	R-HSA-112314	29	2208	205	10987	0.9896853508192471	0.9999999999999999	0.7039214386709084	0	PRKAG3, CHRNA1, RPS6KA1, GABBR2, HRAS, CAMKK2, ADCY6, ADCY2, GNAI2, KCNJ4, GNG10, PRKCA, MAPT, GNG7, GLRB, DLG2, AP2S1, PRKAR2A, GABRA2, GABRG3, PDPK1, RASGRF2, ARHGEF9, GRIK3, CHRND, PRKAA2, KCNJ12, ACTN2, CHRNG
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	R-HSA-8948700	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	AGO1
Synthesis of PIPs at the plasma membrane	R-HSA-1660499	6	2208	53	10987	0.9692153416986666	0.9999999999999999	0.5633203445447088	0	BMX, PIK3C2A, MTMR3, PLEKHA1, RUFY1, PI4K2B
Signaling by Erythropoietin	R-HSA-9006335	4	2208	25	10987	0.7698960578674588	0.9999999999999999	0.7961594202898551	0	CRKL, HRAS, EPO, IRS2
Keratan sulfate biosynthesis	R-HSA-2022854	3	2208	28	10987	0.9404734686199118	0.9999999999999999	0.5331424689440993	0	PRELP, B4GAT1, B3GNT2
Keratan sulfate degradation	R-HSA-2022857	2	2208	15	10987	0.835278398182196	0.9999999999999999	0.6634661835748793	0	PRELP, GLB1L
Cobalamin (Cbl) metabolism	R-HSA-9759218	1	2208	7	10987	0.7921487676331544	0.9999999999999999	0.7108566252587992	0	MMADHC
Apoptosis induced DNA fragmentation	R-HSA-140342	1	2208	13	10987	0.9459767253250491	0.9999999999999999	0.38276895206243033	0	KPNA1
Zinc transporters	R-HSA-435354	1	2208	15	10987	0.965529787753777	0.9999999999999999	0.33173309178743965	0	SLC39A6
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	R-HSA-2892247	2	2208	13	10987	0.769099335537232	0.9999999999999999	0.7655379041248607	0	FOXD3, STAT3
Histidine catabolism	R-HSA-70921	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	FTCD
SUMOylation of transcription cofactors	R-HSA-3899300	6	2208	45	10987	0.9127187958885623	0.9999999999999999	0.6634661835748793	0	MBD1, SUMO3, NPM1, SUMO1, PIAS3, TRIM28
Defective CHSY1 causes TPBS	R-HSA-3595177	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	BGN
Netrin mediated repulsion signals	R-HSA-418886	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	NTN1
Uptake and function of anthrax toxins	R-HSA-5210891	1	2208	13	10987	0.9459767253250491	0.9999999999999999	0.38276895206243033	0	MAP2K2
Hyaluronan metabolism	R-HSA-2142845	2	2208	17	10987	0.8838054058561426	0.9999999999999999	0.5854113384484229	0	SLC9A1, HYAL1
Peptide hormone metabolism	R-HSA-2980736	13	2208	88	10987	0.9213847748581446	0.9999999999999999	0.7350903738471674	0	PCSK1, EXOC5, GATA4, AGT, ACE2, INHBB, ANPEP, UCN, MYO5A, EXOC7, SPCS1, KIF5B, GH1
Diseases of the neuronal system	R-HSA-9675143	2	2208	14	10987	0.8046714513802893	0.9999999999999999	0.7108566252587992	0	RLBP1, RBP4
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	R-HSA-434316	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	GNAQ
Metabolism of steroid hormones	R-HSA-196071	3	2208	36	10987	0.9846135447286448	0.9999999999999999	0.4146663647342995	0	SRD5A2, CYP11B2, CYP19A1
Positive epigenetic regulation of rRNA expression	R-HSA-5250913	17	2208	103	10987	0.8509111045409905	0.9999999999999999	0.8212809553960885	0	POLR1H, DEK, H3C11, H2BC15, H2BC7, H2BC9, POLR2K, H2BC14, H4C5, H2AZ2, ACTB, KAT2B, H4C15, POLR1B, POLR1C, H2AJ, H4C2
Signaling by activated point mutants of FGFR1	R-HSA-1839122	1	2208	11	10987	0.9153400543310422	0.9999999999999999	0.4523633069828722	0	FGF4
Sensory processing of sound by inner hair cells of the cochlea	R-HSA-9662360	9	2208	69	10987	0.9534351367995517	0.9999999999999999	0.6490430056710774	0	XIRP2, CABP2, CAPZA2, CAPZB, LHFPL5, ACTB, RDX, PCLO, KCNQ4
Miro GTPase Cycle	R-HSA-9715370	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	MFN2
Phospholipase C-mediated cascade; FGFR4	R-HSA-5654228	2	2208	15	10987	0.835278398182196	0.9999999999999999	0.6634661835748793	0	FGF19, FGF4
Nitric oxide stimulates guanylate cyclase	R-HSA-392154	3	2208	22	10987	0.8483266757272042	0.9999999999999999	0.6785449604743082	0	IRAG1, GUCY1B1, KCNMB2
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	R-HSA-8862803	3	2208	22	10987	0.8483266757272042	0.9999999999999999	0.6785449604743082	0	BCL2L11, SOD2, FOXO3
Germ layer formation at gastrulation	R-HSA-9754189	2	2208	17	10987	0.8838054058561426	0.9999999999999999	0.5854113384484229	0	TRIM33, GSC
Signaling by ERBB2 KD Mutants	R-HSA-9664565	4	2208	25	10987	0.7698960578674588	0.9999999999999999	0.7961594202898551	0	CDC37, HRAS, EGF, HSP90AA1
Role of LAT2/NTAL/LAB on calcium mobilization	R-HSA-2730905	2	2208	16	10987	0.8614782538862135	0.9999999999999999	0.6219995471014493	0	FCER1G, PDPK1
Transport of inorganic cations/anions and amino acids/oligopeptides	R-HSA-425393	17	2208	110	10987	0.913564458974591	0.9999999999999999	0.7690176218708829	0	SLC6A19, SLC25A18, SLC9A1, SLC12A2, SLC9A8, SRI, SLC25A26, SLC36A4, SLC38A2, SLC36A2, SLC24A1, SLC15A2, SLC38A4, SLC4A5, SLC12A5, SLC7A7, SLC7A11
Condensation of Prophase Chromosomes	R-HSA-2299718	12	2208	71	10987	0.791888683006486	0.9999999999999999	0.8410134721371708	0	H3C11, H2BC15, H2BC7, H2BC9, H2BC14, H4C5, H2AZ2, RB1, H4C15, H3-4, H2AJ, H4C2
Signaling by activated point mutants of FGFR3	R-HSA-1839130	1	2208	12	10987	0.9323707722644476	0.9999999999999999	0.4146663647342995	0	FGF4
GABA synthesis, release, reuptake and degradation	R-HSA-888590	1	2208	19	10987	0.985970235238056	0.9999999999999999	0.26189454614797864	0	CPLX1
Signaling by LTK	R-HSA-9842663	1	2208	12	10987	0.9323707722644476	0.9999999999999999	0.4146663647342995	0	LTK
NrCAM interactions	R-HSA-447038	1	2208	7	10987	0.7921487676331544	0.9999999999999999	0.7108566252587992	0	NRP2
FGFR3 ligand binding and activation	R-HSA-190239	1	2208	13	10987	0.9459767253250491	0.9999999999999999	0.38276895206243033	0	FGF4
Reactions specific to the complex N-glycan synthesis pathway	R-HSA-975578	1	2208	10	10987	0.8940230101940758	0.9999999999999999	0.49759963768115945	0	FUCA1
E2F-enabled inhibition of pre-replication complex formation	R-HSA-113507	1	2208	9	10987	0.8673414601950471	0.9999999999999999	0.5528884863123994	0	ORC4
Antimicrobial peptides	R-HSA-6803157	9	2208	95	10987	0.9984260970184019	0.9999999999999999	0.47141018306636157	0	LYZ, DEFB110, PLA2G2A, CD4, PRTN3, ATP7A, ART1, CHGA, ELANE
Degradation of the extracellular matrix	R-HSA-1474228	19	2208	140	10987	0.9832395436106162	0.9999999999999999	0.6753137939958592	0	FBN1, COL12A1, COL8A2, MMP9, MMP14, NCSTN, MMP15, HTRA1, COL11A2, COL4A1, COL18A1, CAPN6, COL5A3, LAMC1, TLL1, ELANE, MMP3, COL16A1, ELN
Inactivation of CDC42 and RAC1	R-HSA-428543	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	CDC42
Reversible hydration of carbon dioxide	R-HSA-1475029	1	2208	12	10987	0.9323707722644476	0.9999999999999999	0.4146663647342995	0	CA3
LGI-ADAM interactions	R-HSA-5682910	1	2208	14	10987	0.9568463617823382	0.9999999999999999	0.3554283126293996	0	STX1B
FGFR1 mutant receptor activation	R-HSA-1839124	4	2208	31	10987	0.8956528908103948	0.9999999999999999	0.6420640486208509	0	LRRFIP1, STAT1, STAT3, FGF4
Nuclear Receptor transcription pathway	R-HSA-383280	5	2208	52	10987	0.9870083468118941	0.9999999999999999	0.4784611900780379	0	MED1, RXRG, ESRRA, NR2C2, HNF4A
Defective Intrinsic Pathway for Apoptosis	R-HSA-9734009	4	2208	25	10987	0.7698960578674588	0.9999999999999999	0.7961594202898551	0	TP53, BCL2L11, SOD2, FOXO3
Glucuronidation	R-HSA-156588	2	2208	25	10987	0.9734062877857431	0.9999999999999999	0.39807971014492755	0	UGP2, SLC35D1
IL-6-type cytokine receptor ligand interactions	R-HSA-6788467	1	2208	17	10987	0.9780078786046649	0.9999999999999999	0.29270566922421143	0	CRLF1
Prolactin receptor signaling	R-HSA-1170546	1	2208	15	10987	0.965529787753777	0.9999999999999999	0.33173309178743965	0	GH1
SHC1 events in ERBB4 signaling	R-HSA-1250347	1	2208	14	10987	0.9568463617823382	0.9999999999999999	0.3554283126293996	0	HRAS
Dissolution of Fibrin Clot	R-HSA-75205	2	2208	13	10987	0.769099335537232	0.9999999999999999	0.7655379041248607	0	SERPINB6, SERPINB8
Synthesis of PIPs at the Golgi membrane	R-HSA-1660514	2	2208	18	10987	0.9027575350590586	0.9999999999999999	0.5528884863123994	0	PIK3C2A, PI4K2B
Defective GALNT3 causes HFTC	R-HSA-5083625	2	2208	18	10987	0.9027575350590586	0.9999999999999999	0.5528884863123994	0	MUC5B, MUC16
Presynaptic function of Kainate receptors	R-HSA-500657	3	2208	21	10987	0.8243155198299023	0.9999999999999999	0.7108566252587991	0	GNG10, GNG7, GRIK3
Pyroptosis	R-HSA-5620971	3	2208	28	10987	0.9404734686199118	0.9999999999999999	0.5331424689440993	0	BAK1, TP53, ELANE
Glucagon-type ligand receptors	R-HSA-420092	3	2208	33	10987	0.9741515748599343	0.9999999999999999	0.4523633069828722	0	GNG10, GNG7, GNAS
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	R-HSA-381426	20	2208	125	10987	0.8992326644589304	0.9999999999999999	0.7961594202898551	0	CCN1, FBN1, IGFBP6, SERPINA1, MFGE8, APOB, LTBP1, PDIA6, KNG1, IGFALS, HRC, LAMB2, SPARCL1, KLK3, LAMC1, IGFBP2, SHISA5, NOTUM, FGA, MGAT4A
Regulation of CDH11 Expression and Function	R-HSA-9759475	3	2208	28	10987	0.9404734686199118	0.9999999999999999	0.5331424689440993	0	AGO1, ZEB2, BHLHE22
HCMV Infection	R-HSA-9609646	29	2208	159	10987	0.7511312876412436	0.9999999999999999	0.9075716662109197	0	DYNC1LI2, VPS37D, H3C11, TBL1XR1, H2BC15, H2BC7, H2BC9, UBAP1, ITGB1, NUP37, H2BC18, DYNC1I2, RAE1, H2BC14, H4C5, TSG101, POM121, NUP43, VPS25, NUP62, VPS37B, VPS4A, H4C15, SNF8, NUP214, NUP133, TRIM28, NUP155, H4C2
Neurotransmitter release cycle	R-HSA-112310	5	2208	51	10987	0.9848658458548358	0.9999999999999999	0.4878427820403524	0	SYN2, CPLX1, SLC38A2, SLC22A2, MAOA
Signal Transduction	R-HSA-162582	499	2208	2606	10987	0.9213583915303074	0.9999999999999999	0.95280974367958	0	MECOM, NRP2, TCIRG1, DYNC1LI2, HES5, RGS1, PSMD14, ITGA5, COPS2, PARD6B, LPAR5, ACVR2A, CCND1, PCK1, PRKAG3, FBN1, NLK, LTK, CCNK, CCL4L2, PSME1, CDC20, PTPN6, ARHGAP15, CXCL16, PPP1R12A, CCL4, RPS27A, NDUFA5, CAB39L, PAFAH1B1, RASA4, INSR, ARHGDIA, ARHGAP12, ABR, ATP6V0C, MTNR1A, CASP8, POLR2G, ATP6V1B1, TAS2R10, PSMB3, IL1RL1, NDUFS3, PSMC5, SOCS6, DUSP7, SHKBP1, HSP90AB1, ATP6V0E1, PDGFC, SOX17, PSMD10, ATP6V1H, STK11, POLR2J, CRKL, FASN, XPO1, GPSM3, FGF7, CUL5, DVL2, H3C11, GPR25, DIAPH1, VWF, SH3PXD2A, TBL1XR1, CCL2, IFT57, IL2RA, H2BC15, PPP2R5D, PLPPR2, APOC1, ATP6V1F, PDGFRB, H2BC7, PKN1, EIF4B, TRIM33, FGF3, LRRC1, PLD2, GTF2A1, EGR4, LTBP1, IGF1R, CDC37, RPS6KA1, PPP1CB, NOTCH3, CD86, ZRANB1, FERMT2, CXCL11, FPR2, PLXND1, NSFL1C, VANGL1, RHOG, FGF22, AMOTL1, H2BC9, GABBR2, DOCK8, DUSP10, HRAS, SH2B3, FOS, UBC, POU2F1, RPS6KB1, MAML3, BLTP3B, MMP9, SCD, ARHGAP10, CAMKK2, POLR2B, CYBB, POLR2K, HNRNPH1, YWHAB, ADCY6, DLD, PLPPR3, FRAT2, ITGB1, EPO, FZD3, IL2RB, ARTN, EPSTI1, CCT7, PTAFR, CYSLTR1, KNG1, PDHX, KCTD13, DACT1, ADCY2, FKBP4, NET1, YWHAQ, NUP37, PSENEN, CCL28, GNAI2, FER, PTBP1, CRK, PARD3, SOX7, MAP2K5, OTUD3, GRM6, EGF, HSP90AA1, MED1, SQSTM1, CD274, PCSK6, TCF12, CCL5, TMED2, CCND3, GPR183, ARFGAP2, CAB39, STAT1, GALR2, VEGFB, RAB7A, STIP1, AKR1C3, RBBP5, XCR1, DYNC1I2, VIM, GRB7, MMP14, EIF4EBP1, VEGFD, EMD, RALGDS, FZD9, EFCAB7, STAT3, PSMA5, SPOP, EGR1, UBB, RAD21, PSMC6, IER3, NPFF, H2BC14, ATP6V1C1, PSMA4, HTR1B, KDM1A, RXRG, DDRGK1, CHURC1-FNTB, RASGRP1, RRAGA, CHRM5, AMER1, P2RY14, CAPZB, DUSP9, CSNK1G2, MAPRE1, RHOJ, GFRA2, TP53, TNFAIP3, PSMD3, CENPC, NCSTN, PTK2, ALDH1A2, ECE2, PKN3, HGFAC, CDKN2B, AGT, ARPC2, UBE2M, PSMD4, SPTB, MAPK14, PDHA2, CX3CR1, EBAG9, PSMB4, GNG10, IL2RG, ADH1A, ANXA1, AGO1, BCL9, FGD4, P2RY1, ACVR2B, CHUK, GATA3, ATP6V0E2, ARPC1A, SLC38A9, HNRNPC, UBE2D1, CSNK1A1, HDAC5, KLC1, TGFB1, THEM4, WIPF1, PRKCA, TRA2B, PPID, LGR5, SRF, VAV2, CFL1, MYF6, ACTC1, ARHGEF12, DLK1, UHMK1, GNG7, OPN3, GNAS, COL11A2, CSF2RA, TGFBR3, H4C5, ARPC1B, PPP2R5A, MAP2K2, INHBB, SKA2, ABI1, PSMC1, UCN, IKBKE, H2AZ2, TRAT1, SKI, P2RY10, DLG2, AP2S1, MKRN1, FNTA, COL4A1, PRKAR2A, WNT7A, LAMB2, NMU, YES1, MAP3K11, PTCH2, EMC3, GNAQ, KREMEN2, SNW1, WNT1, KHDRBS3, NOTCH2, SENP1, NUP43, LAMA2, GPR27, FRS3, MAPK12, MFN2, KANK1, CXCL13, RALB, OBSCN, BCL2L11, PTK2B, ARHGAP42, YWHAZ, PPP2R1B, RAC2, TRIP10, SMURF2, ARHGAP18, KIF18A, EDNRA, RPGRIP1L, CASP2, GPR65, SRRM1, P2RY13, NTF4, TAB3, SNX3, ACTB, GPR132, NOXO1, ID2, GPR150, LAMTOR5, RIPK2, CXCL10, NCKAP1L, FGF19, KLK3, PPP3CC, MYD88, CCL3, GABRG3, CXCL9, WDR83, FILIP1, FLOT1, AAMP, CXCR3, THBS4, ADH1C, DOCK10, PTGES3, PRLHR, PDPK1, ADGRE5, ITGB3BP, KAT2B, BMPR1B, SYVN1, RHOF, CCP110, PPP1R14A, PDHA1, COL5A3, PSMA6, RUNX3, ITSN2, LAMC1, EGR2, NRTN, PSMC3, CCT6A, CENPN, GRK3, FPR3, EIF4G1, SSTR1, STRAP, RASGRF2, BCL9L, PSMA7, ARHGEF9, CDC42, H4C15, TAGAP, DLL4, UBE2D3, HNRNPA1, ATP2A2, TPM3, CLTB, XCL1, NCK1, CCKBR, ACVR1B, MAF1, TFDP1, PEAK1, PTH2, GTF2A2, SAV1, CCT2, PRKAA2, ZWILCH, ARHGDIB, TAC1, OPRD1, ABCD3, NUP133, FGF4, RRAS2, ADRA2B, TLE3, ATP2A1, MYOG, ALDH3A2, CASR, NOTUM, POLR2C, RHOBTB2, ZW10, DVL1, ALS2, RAMP1, RHOQ, CYP26A1, ARHGAP1, USP13, MYF5, PDE4C, H3-4, CYSLTR2, DRD4, PDE7B, DKK4, PORCN, POFUT1, H2AJ, OPTN, FOXO4, WASF2, KIF5B, MARK3, CDK8, FGA, C3AR1, FOXO3, MEMO1, ATP1B4, ADM, PTH, CYP26C1, DSN1, VRK2, GIPC1, OTUD7B, GNAO1, LAMTOR2, SH3KBP1, ATP2A3, PRDM1, FGB, H4C2, FKBP1A, PSMD6, ABHD17A, CDC42EP5, ARL13B, MMP3, SFPQ, MLST8, CDKN1B, STAG1, FOSB, ACTN2, SOS2, IRS2, NEURL1, GIT2, TNKS2, NGF, WNT9B, CBL, PPM1A
Intrinsic Pathway of Fibrin Clot Formation	R-HSA-140837	3	2208	23	10987	0.8694275875581575	0.9999999999999999	0.6490430056710774	0	VWF, PROS1, KNG1
Mitotic Prometaphase	R-HSA-68877	37	2208	205	10987	0.7942319229334869	0.9999999999999999	0.8981066631318487	0	DCTN2, DYNC1LI2, HAUS2, CDC20, PAFAH1B1, XPO1, PPP2R5D, CEP70, NME7, NUP37, HSP90AA1, CEP41, DYNC1I2, RAD21, MAPRE1, CENPC, NEK9, CDK5RAP2, PCNT, CEP135, PPP2R5A, SKA2, NUP43, PPP2R1B, KIF18A, HAUS4, PLK4, ITGB3BP, CCP110, CENPN, EML4, NEK7, ZWILCH, NUP133, ZW10, DSN1, STAG1
Defensins	R-HSA-1461973	3	2208	50	10987	0.9987985866789649	0.9999999999999999	0.29855978260869565	0	DEFB110, CD4, ART1
RET signaling	R-HSA-8853659	6	2208	40	10987	0.8427211799662421	0.9999999999999999	0.7463994565217391	0	ARTN, GRB7, GFRA2, PRKCA, NRTN, IRS2
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	R-HSA-2660826	1	2208	7	10987	0.7921487676331544	0.9999999999999999	0.7108566252587992	0	DLL4
Glycosaminoglycan metabolism	R-HSA-1630316	21	2208	126	10987	0.8605391513736087	0.9999999999999999	0.829332729468599	0	SLC9A1, HYAL1, HS3ST6, SDC4, GPC4, DSEL, PRELP, CHST11, CHST7, SDC3, IDS, EXT1, SLC35B2, B4GAT1, HS3ST2, B3GNT2, HS3ST4, GLB1L, BGN, GPC2, HGSNAT
CaMK IV-mediated phosphorylation of CREB	R-HSA-111932	1	2208	12	10987	0.9323707722644476	0.9999999999999999	0.4146663647342995	0	CAMKK2
G beta:gamma signalling through CDC42	R-HSA-8964616	3	2208	20	10987	0.7971234707823025	0.9999999999999999	0.7463994565217391	0	GNG10, GNG7, CDC42
Processive synthesis on the lagging strand	R-HSA-69183	1	2208	15	10987	0.965529787753777	0.9999999999999999	0.33173309178743965	0	RPA1
Amine ligand-binding receptors	R-HSA-375280	4	2208	42	10987	0.9800625196685574	0.9999999999999999	0.4739044168391994	0	HTR1B, CHRM5, ADRA2B, DRD4
Defective GALNT12 causes CRCS1	R-HSA-5083636	2	2208	18	10987	0.9027575350590586	0.9999999999999999	0.5528884863123994	0	MUC5B, MUC16
PKA-mediated phosphorylation of CREB	R-HSA-111931	3	2208	22	10987	0.8483266757272042	0.9999999999999999	0.6785449604743082	0	ADCY6, ADCY2, PRKAR2A
Interleukin-20 family signaling	R-HSA-8854691	4	2208	25	10987	0.7698960578674588	0.9999999999999999	0.7961594202898551	0	STAT1, STAT3, STAT4, IL10RB
Chaperonin-mediated protein folding	R-HSA-390466	15	2208	90	10987	0.8277499030671176	0.9999999999999999	0.829332729468599	0	CCT5, CCT4, CCT7, STAT3, TP53, GNG10, GNG7, FBXW4, GNAQ, ACTB, CCT6A, FBXL3, CCT2, TCP1, XRN2
G beta:gamma signalling through PLC beta	R-HSA-418217	2	2208	20	10987	0.9323071525162223	0.9999999999999999	0.49759963768115945	0	GNG10, GNG7
Downstream signaling of activated FGFR3	R-HSA-5654708	3	2208	25	10987	0.9039804122363496	0.9999999999999999	0.5971195652173913	0	HRAS, FRS3, FGF4
Serotonin Neurotransmitter Release Cycle	R-HSA-181429	2	2208	18	10987	0.9027575350590586	0.9999999999999999	0.5528884863123994	0	SYN2, CPLX1
Extracellular matrix organization	R-HSA-1474244	47	2208	300	10987	0.9804202050052787	0.9999999999999999	0.7795727657004831	0	ITGA5, FBN1, EMILIN1, P4HA1, ITGA7, COL12A1, ITGAL, VWF, SH3PXD2A, SDC4, COL28A1, LTBP1, COL8A2, MMP9, ITGB1, DMD, PCOLCE2, ICAM3, MMP14, NCSTN, SDC3, MMP15, TNXB, HTRA1, TGFB1, PRKCA, COL11A2, COL4A1, LAMB2, PPIB, COL18A1, LAMA2, ITGAX, TRAPPC4, CEACAM1, CAPN6, COL5A3, LAMC1, TLL1, FGA, BGN, FGB, ELANE, MMP3, COL16A1, NTN4, ELN
Glutathione conjugation	R-HSA-156590	3	2208	36	10987	0.9846135447286448	0.9999999999999999	0.4146663647342995	0	GSTA4, ESD, MGST2
Synthesis of IP3 and IP4 in the cytosol	R-HSA-1855204	1	2208	28	10987	0.9981461232326077	0.9999999999999999	0.1777141563146998	0	PLCH1
Vasopressin regulates renal water homeostasis via Aquaporins	R-HSA-432040	6	2208	43	10987	0.8888210520239956	0.9999999999999999	0.6943250758341759	0	ADCY6, ADCY2, GNG10, GNG7, GNAS, PRKAR2A
Bile acid and bile salt metabolism	R-HSA-194068	7	2208	44	10987	0.809211455861208	0.9999999999999999	0.7916357872200264	0	OSBP, AKR1C3, OSBPL2, STARD5, AKR1C1, AKR1C2, SLCO1A2
Blood group systems biosynthesis	R-HSA-9033658	3	2208	22	10987	0.8483266757272042	0.9999999999999999	0.6785449604743082	0	FUT5, FUT4, B3GALT1
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	R-HSA-3656244	1	2208	8	10987	0.833946173923318	0.9999999999999999	0.6219995471014493	0	PRELP
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	R-HSA-8864260	6	2208	38	10987	0.8041073847389344	0.9999999999999999	0.785683638443936	0	PITX2, DEK, HSPD1, NPM1, SUMO1, KCTD1
Synthesis of 12-eicosatetraenoic acid derivatives	R-HSA-2142712	1	2208	7	10987	0.7921487676331544	0.9999999999999999	0.7108566252587992	0	GPX1
SHC1 events in EGFR signaling	R-HSA-180336	2	2208	14	10987	0.8046714513802893	0.9999999999999999	0.7108566252587992	0	HRAS, EGF
MAPK1 (ERK2) activation	R-HSA-112411	1	2208	9	10987	0.8673414601950471	0.9999999999999999	0.5528884863123994	0	MAP2K2
RHOA GTPase cycle	R-HSA-8980692	22	2208	147	10987	0.956251991254803	0.9999999999999999	0.7447069407473134	0	ARHGDIA, ABR, DIAPH1, PKN1, VANGL1, ARHGAP10, NET1, DDRGK1, PKN3, VAV2, ACTC1, ARHGEF12, EMC3, OBSCN, ARHGAP42, ARHGAP18, FLOT1, RASGRF2, TAGAP, ARHGDIB, ABCD3, ARHGAP1
GRB2 events in ERBB2 signaling	R-HSA-1963640	2	2208	16	10987	0.8614782538862135	0.9999999999999999	0.6219995471014493	0	HRAS, EGF
Basigin interactions	R-HSA-210991	4	2208	25	10987	0.7698960578674588	0.9999999999999999	0.7961594202898551	0	ITGB1, SLC16A1, SLC7A7, SLC7A11
Maturation of nucleoprotein	R-HSA-9694631	2	2208	15	10987	0.835278398182196	0.9999999999999999	0.6634661835748793	0	CSNK1A1, SUMO1
Endogenous sterols	R-HSA-211976	3	2208	26	10987	0.917951720525162	0.9999999999999999	0.5741534280936454	0	CYP11B2, CYP4V2, CYP19A1
cGMP effects	R-HSA-418457	2	2208	16	10987	0.8614782538862135	0.9999999999999999	0.6219995471014493	0	IRAG1, KCNMB2
Cobalamin (Cbl, vitamin B12) transport and metabolism	R-HSA-196741	2	2208	22	10987	0.9532094945061717	0.9999999999999999	0.4523633069828722	0	MMADHC, AMN
RORA activates gene expression	R-HSA-1368082	2	2208	18	10987	0.9027575350590586	0.9999999999999999	0.5528884863123994	0	TBL1XR1, MED1
Downstream signaling of activated FGFR1	R-HSA-5654687	5	2208	31	10987	0.7755860984294993	0.9999999999999999	0.8025800607760636	0	FGF3, FGF22, HRAS, FRS3, FGF4
Gamma-carboxylation of protein precursors	R-HSA-159740	1	2208	10	10987	0.8940230101940758	0.9999999999999999	0.49759963768115945	0	PROS1
Cell-cell junction organization	R-HSA-421270	11	2208	88	10987	0.9777630326877645	0.9999999999999999	0.6219995471014492	0	PARD6B, CLDN1, CDH19, CLDN5, PARD3, CLDN15, AGO1, ZEB2, ACTB, BHLHE22, CLDN23
